app_start.stm,app_start.sip,app_start.rom_ver,app_start.sid,app_start.app_type,app_start.ctime,app_start.app_ver,app_start.order,app_start.h_mode,app_start.h_sn,app_start.net_type,app_start.appmode,app_start.o_source,app_start.app_name,app_start.status,app_start.s_ver,app_start.mac,app_start.year,app_start.month,app_start.day,app_start.hour
1540743864,139.212.246.188,4.3.3.16_s,f0c7244375cf4b6d91b40f1d006c8bb9,4,1540729780,4.3.3.16,15,FD6552A-SU,FUN201003547917440103741,1,TVAppStore,tv.fun.appstore,com.ktcp.video,1,3.7.0.1020,28:76:CD:C4:DE:06,2018,10,29,00
1540743065,123.123.154.103,4.1.1.12_s,6584c76512ca44d7bacfb5ffe70ee403,4,1540742071,4.1.1.12,1,LE42B510F,FUN201001383715530100557,1,TVAppStore,tv.fun.appstore,com.gitvdemo.video,1,8.7.3.77685,28:76:CD:03:DC:61,2018,10,29,00
1540742468,113.230.66.136,4.3.3.16_s,88538a7da40e4f0ba9a632ab67a42571,4,1540730473,4.3.3.16,27,FD5552A-DU,FUN201002664117130104688,1,TVAppStore,tv.fun.appstore,com.ktcp.video,1,3.6.0.1036,28:76:CD:1E:67:5C,2018,10,29,00
1540745435,61.158.85.67,4.1.1.12_s,9b114ddfb67d4b8684c9459ee2328302,4,1540745057,4.4.4,96,LE39B3500W,FUN213000068616500104043,1,,com.android.systemui,com.bestv.ott,1,4.1.1.12,28:76:CD:10:FE:65,2018,10,29,00
1540744540,36.47.72.205,4.1.1.12_s,4f9ec0fcfbd940dea253d3388788f7d7,4,1540743653,4.1.1.12,7,LS55H310G,FUN201002522417070103493,1,TVAppStore,tv.fun.appstore,com.haier.uhome.uplustv,1,01.01.15.111601,28:76:CD:18:5A:4A,2018,10,29,00
1540742774,49.76.206.246,1.0.0,a483c1be4be94d1794abf2f5df065333,4,1540726753,1.10.12-ga7a909c,5,cvte_MStar%20Android%20TV,,1,,com.cvte.tv.launcher.fighter,com.qiyi.video,1,8.1,78:dd:d9:ba:ee:24,2018,10,29,00
1540745653,182.119.12.75,4.3.3.16_s,b8107cf8768d44d5bd775d87880bac77,4,1540710578,4.3.3.16,65,FD4952A-SU,FUN201003361017410104782,1,TVAppStore,tv.fun.appstore,com.x.tv,1,1.1.1,28:76:CD:BC:8C:52,2018,10,29,00
1540745462,1.58.215.12,1.0.0,88a0d4272b944a3f8a05634c007ad022,4,1540731658,1.10.12-ga7a909c,9,MStar+Android+TV,,1,,com.cvte.tv.launcher.fighter,com.qiyi.video,1,8.1,78:dd:d9:be:2d:29,2018,10,29,00
1540742796,14.156.98.44,4.1.2.11_s,b5bc143eb8894f75b71e553ccecffb0a,4,1540734305,4.1.2.11,124,FD4952A-SU,FUN201003246917360100286,1,,com.android.systemui,com.bestv.ott,1,4.1.2.11,28:76:CD:B4:24:A2,2018,10,29,00
1540744146,124.119.133.113,4.1.1.12_s,1493ea2f9162414182acb48085377952,4,1540743174,4.1.1.12,5,LE32B510F,FUN201001387116010100399,1,TVAppStore,tv.fun.appstore,com.qiyivideo.fengxing.tvapi,1,8.8.0.79552,28:76:CD:03:EF:64,2018,10,29,00
1540742481,221.225.68.235,1.0.0,8b076e3206ab42ebbbd2d6ee982a4d84,4,1540732229,1.3.31,11,cvte_MStar%20Android%20TV,,1,,com.cvte.tv.appstore,com.qiyi.video,1,8.1,78:dd:d9:b8:88:8b,2018,10,29,00
1540745568,223.73.255.9,4.1.1.11_s,48c78770afb349d8b0a9e95c57a5d004,4,1540737933,4.1.1.11,143,32CE3210D,FUN201002313516510101263,1,TVAppStore,tv.fun.appstore,com.gitvdemo.video,1,8.7.3.77685,28:76:CD:11:D6:7D,2018,10,29,00
